supplier_code	Price1_USD	Price5_USD	Price2_USD	Price4_USD	Price3_USD	Smiles	MDLN	Chemical_Name	CAS_RN	Link	Purity	Quantity4	Quantity5	Quantity1	Quantity2	Quantity3
SPC-t490	126	1846	252	628	418	CC(C)(C)OC(N[C@H](C1)CNC1=O)=O	MFCD20257901	tert-butyl N-[(3R)-5-oxopyrrolidin-3-yl]carbamate	1346773-63-4	http://spirochem.com/tert-butyl-n-3r-5-oxopyrrolidin-3-yl-carbamate.html	95	1G	5G	0.1G	0.25G	0.5G
SPC-t492	184	 	366	912	609	CC(C)(C)OC(N(CC1)CC(C)(C)[C@H]1N)=O	MFCD27991483	tert-butyl (4S)-4-amino-3,3-dimethylpiperidine-1-carboxylate	1357600-60-2	http://spirochem.com/tert-butyl-4s-4-amino-3-3-dimethylpiperidine-1-carboxylate.html	95	1G		0.1G	0.25G	0.5G
SPC-t493	184	 	366	912	609	CC(C)(C)OC(N(CC1)CC(C)(C)[C@@H]1N)=O	MFCD27991442	tert-butyl (4R)-4-amino-3,3-dimethylpiperidine-1-carboxylate	1357600-61-3	http://spirochem.com/tert-butyl-4r-4-amino-3-3-dimethylpiperidine-1-carboxylate.html	95	1G		0.1G	0.25G	0.5G
SPC-t495	342	 	1025	 	1677	NCC1(CCC1)C(O)=O.Cl	MFCD21602353	1-(aminomethyl)cyclobutane-1-carboxylic acid hydrochloride	1360547-44-9	http://spirochem.com/1-aminomethyl-cyclobutane-1-carboxylic-acid-hydrochloride.html	95			1G	5G	10G
SPC-t496	400	 	1398	 	2292	CC(C)(C)OC(N1Cc2ccc(C(O)=O)n2CC1)=O	MFCD22395729	2-[(tert-butoxy)carbonyl]-1H,2H,3H,4H-pyrrolo[1,2-a]pyrazine-6-carboxylic acid	1363380-86-2	http://spirochem.com/2-tert-butoxy-carbonyl-1h-2h-3h-4h-pyrrolo-1-2-a-pyrazine-6-carboxylic-acid.html	95			1G	5G	10G
SPC-t497	339	5588	676	3577	1012	Clc(nc1)nn2c1ccc2	MFCD23105849	2-chloropyrrolo[2,1-f][1,2,4]triazine	1363383-25-8	http://spirochem.com/2-chloropyrrolo-2-1-f-1-2-4-triazine.html	95	5G	10G	0.25G	0.5G	1G
SPC-t498	141	 	317	 	951	NC(C1)CN1c1ncccn1.Cl.Cl	MFCD21602185	1-(pyrimidin-2-yl)azetidin-3-amine dihydrochloride	1365968-57-5	http://spirochem.com/1-pyrimidin-2-yl-azetidin-3-amine-dihydrochloride.html	95			0.25G	1G	5G
SPC-t499	263	 	525	1286	874	CC(C)(C)OC(N1C2(CCNCC2)COCC1)=O	MFCD22033425	tert-butyl 4-oxa-1,9-diazaspiro[5.5]undecane-1-carboxylate	1368040-61-2	http://spirochem.com/tert-butyl-4-oxa-1-9-diazaspiro-5-5-undecane-1-carboxylate.html	95	1G		0.1G	0.25G	0.5G
SPC-t500	425	 	640	3220	2002	COc1n[nH]c(cc2)c1cc2N	MFCD22068858	3-methoxy-1H-indazol-5-amine	1368181-72-9	http://spirochem.com/3-methoxy-1h-indazol-5-amine.html	95	10G		0.5G	1G	5G
SPC-t501	234	 	467	1165	777	CC1(C)[C@@H]2[C@@H](C(O)=O)NC[C@@H]12.Cl	MFCD23106119	(1r,2s,5s)-6,6-dimethyl-3-azabicyclo[3.1.0]hexane-2-carboxylic acid hydrochloride	1373205-30-1	http://spirochem.com/1r-2s-5s-6-6-dimethyl-3-azabicyclo-3-1-0-hexane-2-carboxylic-acid-hydrochloride.html	95	1G		0.1G	0.25G	0.5G
SPC-t502	514	 	1511	 	2516	O=C1NC=Cc2cc(Br)cnc12	MFCD19689063	3-bromo-7,8-dihydro-1,7-naphthyridin-8-one	1375301-90-8	http://spirochem.com/3-bromo-7-8-dihydro-1-7-naphthyridin-8-one.html	95			1G	5G	10G
SPC-t503	114	 	228	570	380	CCOC(c(nc1)c2n1ccnc2)=O	MFCD28128621	ethyl imidazo[1,5-a]pyrazine-1-carboxylate	1377584-27-4	http://spirochem.com/ethyl-imidazo-1-5-a-pyrazine-1-carboxylate.html	95	1G		0.1G	0.25G	0.5G
