supplier_code	Price1_USD	Price5_USD	Price2_USD	Price4_USD	Price3_USD	Smiles	MDLN	Chemical_Name	CAS_RN	Link	Purity	Quantity4	Quantity5	Quantity1	Quantity2	Quantity3
SPC-a002	173	 	277	 	 	OC1COC1	MFCD09056790	oxetan-3-ol	7748-36-9	http://spirochem.com/oxetan-3-ol.html	95			100G	250G	
SPC-a003	102		398		1193	COC1(OC)COC1		3,3-Dimethoxyoxetane	922500-97-8	http://spirochem.com/3-3-dimethoxyoxetane.html	95			1G	5G	25G
SPC-a004	149	 	248	 	 	Cc(cc1)ccc1S(OC1COC1)(=O)=O	MFCD08544401	oxetan-3-yl 4-methylbenzene-1-sulfonate	26272-83-3	http://spirochem.com/oxetan-3-yl-4-methylbenzene-1-sulfonate.html	95			100G	250G	
SPC-a005	235		704		2030	C=CCOC1COC1		3-(Allyloxy)oxetane	6777-00-0	http://spirochem.com/3-allyloxy-oxetane.html	95			5G	25G	100G
SPC-a006	184		255	2295	765	O=[N+]([O-])CC1COC1		3-(Nitromethyl)oxetane	1313739-08-0	http://spirochem.com/3-nitromethyl-oxetane.html	95	5G		0.1G	0.25G	1G
SPC-a007	226	 	376	1267	753	CC(C)(C)[S@](N=C1COC1)=O	MFCD14702522	2-methyl-N-(oxetan-3-ylidene)propane-2-sulfinamide	1158098-73-7	http://spirochem.com/2-methyl-n-oxetan-3-ylidene-propane-2-sulfinamide.html	95	50G		5G	10G	25G
SPC-a008	149	2474	446	1484	743	O=C(C=C1COC1)OCc1ccccc1	MFCD20444447	benzyl 2-(oxetan-3-ylidene)acetate	1242160-03-7	http://spirochem.com/benzyl-2-oxetan-3-ylidene-acetate.html	95	25G	50G	1G	5G	10G
SPC-a009	149	 	248	743	446	CCOC(C=C1COC1)=O	MFCD12755197	ethyl 2-(oxetan-3-ylidene)acetate	922500-91-2	http://spirochem.com/ethyl-2-oxetan-3-ylidene-acetate.html	95	50G		5G	10G	25G
SPC-a010	214		357	3029	1010	O=CC=C1COC1		2-(Oxetan-3-ylidene)acetaldehyde	922500-93-4	http://spirochem.com/2-oxetan-3-ylidene-acetaldehyde.html	95	5G		0.1G	0.25G	1G
SPC-a011	176	2667	520	1697	935	N#CC=C1COC1	MFCD14586415	2-(oxetan-3-ylidene)acetonitrile	1123787-67-6	http://spirochem.com/2-oxetan-3-ylidene-acetonitrile.html	95	25G	50G	1G	5G	10G
SPC-a012	122		357	 	740	CC(=O)C=C1COC1		1-(Oxetan-3-ylidene)propan-2-one	1221819-47-1	http://spirochem.com/1-oxetan-3-ylidene-propan-2-one.html	95			0.25G	1G	5G
SPC-a013	110	 	248	1237	743	O=S(C=C1COC1)(c1ccccc1)=O	MFCD16652327	3-[(benzenesulfonyl)methylidene]oxetane	1221819-46-0	http://spirochem.com/3-benzenesulfonyl-methylidene-oxetane.html	95	10G		0.25G	1G	5G
SPC-a014	194		398	3029	1010	CCOP(=O)(C=C1COC1)OCC		Diethyl (oxetan-3-ylidenemethyl)phosphonate	1221819-45-9	http://spirochem.com/diethyl-oxetan-3-ylidenemethyl-phosphonate.html	95	5G		0.1G	0.25G	1G
SPC-a015	130	 	376	 	624	COC(C(NC(OCc1ccccc1)=O)=C1COC1)=O	MFCD14586429	methyl 2-{[(benzyloxy)carbonyl]amino}-2-(oxetan-3-ylidene)acetate	394653-39-5	http://spirochem.com/methyl-2-benzyloxy-carbonyl-amino-2-oxetan-3-ylidene-acetate.html	95			1G	5G	10G
SPC-a016	102		255	2550	765	O=[N+]([O-])C=C1COC1		3-(nitromethylidene)oxetane	922500-95-6	http://spirochem.com/3-nitromethylidene-oxetane.html	95	25G		0.25G	1G	5G
SPC-a017	153	3264	255	1805	602	O=C(O)C1COC1		Oxetane-3-carboxylic acid	114012-41-8	http://spirochem.com/oxetane-3-carboxylic-acid.html	95	5G	10G	0.1G	0.25G	1G
SPC-a018	112	3998	173	1193	398	O=C(O)CC1COC1	MFCD19442256	2-(oxetan-3-yl)acetic acid	1310381-54-4	http://spirochem.com/2-oxetan-3-yl-acetic-acid.html	95	5G	25G	0.1G	0.25G	1G
SPC-a019	124	 	248	817	446	NC1COC1	MFCD08544363	oxetan-3-amine	21635-88-1	http://spirochem.com/oxetan-3-amine.html	95	100G		10G	25G	50G
SPC-a020	184	 	541	2525	1683	NCC1COC1	MFCD12547197	oxetan-3-ylmethanamine	1587470	http://spirochem.com/oxetan-3-ylmethanamine.html	95	50G		1G	5G	25G
SPC-a021	297	 	495	1237	743	CNC1COC1	MFCD08544349	N-methyloxetan-3-amine	952182-03-5	http://spirochem.com/n-methyloxetan-3-amine.html	95	50G		5G	10G	25G
SPC-a022	124	 	223	668	396	CC1(COC1)C(O)=O	MFCD09842435	3-methyloxetane-3-carboxylic acid	28562-68-7	http://spirochem.com/3-methyloxetane-3-carboxylic-acid.html	95	100G		10G	25G	50G
SPC-a023	204	 	357	3029	1010	CC1(CC(=O)O)COC1		2-(3-Methyloxetan-3-yl)acetic acid	933727-35-6	http://spirochem.com/2-3-methyloxetan-3-yl-acetic-acid.html	95	5G		0.1G	0.25G	1G
SPC-a024	236	 	396	1286	792	CC1(COC1)N	MFCD11111713	3-methyloxetan-3-amine	874473-14-0	http://spirochem.com/3-methyloxetan-3-amine.html	95	50G		5G	10G	25G
SPC-a025	149	 	248	693	436	CC1(CN)COC1	MFCD08703640	(3-methyloxetan-3-yl)methanamine	153209-97-3	http://spirochem.com/3-methyloxetan-3-yl-methanamine.html	95	50G		5G	10G	25G
SPC-a026	110	2474	248	1237	743	CC1(CNC)COC1	MFCD08691435	methyl[(3-methyloxetan-3-yl)methyl]amine	915919-90-3	http://spirochem.com/methyl-3-methyloxetan-3-yl-methyl-amine.html	95	10G	25G	0.25G	1G	5G
SPC-a027	296	 	513	1732	970	CC1(COC1)O	MFCD18909291	3-methyloxetan-3-ol	162816-08-2	http://spirochem.com/3-methyloxetan-3-ol.html	95	50G		5G	10G	25G
SPC-a028	173	 	 	 	 	CC1(CO)COC1	MFCD00010273	(3-methyloxetan-3-yl)methanol	3143-02-0	http://spirochem.com/3-methyloxetan-3-yl-methanol.html	95			500G		
SPC-a029	164	 	277	753	436	CC1(COC1)C=O	MFCD09842436	3-methyloxetane-3-carbaldehyde	99419-31-5	http://spirochem.com/3-methyloxetane-3-carbaldehyde.html	95	50G		5G	10G	25G
SPC-a030	134	1385	198	831	277	OCCC1COC1	MFCD17215859	2-(oxetan-3-yl)ethan-1-ol	251922-46-0	http://spirochem.com/2-oxetan-3-yl-ethan-1-ol.html	95	5G	10G	0.25G	0.5G	1G
SPC-a031	153	 	306	2448	816	CC1(CCO)COC1		2-(3-Methyloxetan-3-yl)ethanol	88214-48-6	http://spirochem.com/2-3-methyloxetan-3-yl-ethanol.html	95	5G		0.1G	0.25G	1G
SPC-a032	149	3216	446	1732	792	C#CC1(COC1)O	MFCD20444449	3-ethynyloxetan-3-ol	1352492-38-6	http://spirochem.com/3-ethynyloxetan-3-ol.html	95	25G	50G	1G	5G	10G
SPC-a033	150	2227	297	743	495	C#CCC1(COC1)O	MFCD20444450	3-(Prop-2-ynyl)oxetan-3-ol	1354550-84-7	http://spirochem.com/3-prop-2-ynyl-oxetan-3-ol.html	95	1G	5G	0.1G	0.25G	0.5G
SPC-a034	153	 	306	2754	918	C#CC1(OCC(=O)O)COC1		2-((3-Ethynyloxetan-3-yl)oxy)acetic acid	1379811-83-2	http://spirochem.com/2-3-ethynyloxetan-3-yl-oxy-acetic-acid.html	95	5G		0.1G	0.25G	1G
SPC-a035	218	4205	654	2355	1178	NCC1(COC1)O	MFCD20444451	3-(aminomethyl)oxetan-3-ol	1305208-47-2	http://spirochem.com/3-aminomethyl-oxetan-3-ol.html	95	25G	50G	1G	5G	10G
SPC-a036	214	 	367	2417	806	CC(C)(C)OC(=O)NCC1(CC(=O)OCc2ccccc2)COC1		Benzyl 2-(3-(((tert-butoxycarbonyl)amino)methyl)oxetan-3-yl)acetate	1404193-76-5	http://spirochem.com/benzyl-2-3-tert-butoxycarbonyl-amino-methyl-oxetan-3-yl-acetate.html	95	5G		0.1G	0.25G	1G
SPC-a037	169	1663	337	842	561	CC(C)(C)OC(NCC1(CC(O)=O)COC1)=O	MFCD14586426	2-[3-({[(tert-butoxy)carbonyl]amino}methyl)oxetan-3-yl]acetic acid	1207175-98-1	http://spirochem.com/2-3-tert-butoxy-carbonyl-amino-methyl-oxetan-3-yl-acetic-acid.html	95	1G	5G	0.1G	0.25G	0.5G
SPC-a038	408	 	714	5202	1734	NCC1(CC(=O)O)COC1		2-(3-(Aminomethyl)oxetan-3-yl)acetic acid	1373923-02-4	http://spirochem.com/2-3-aminomethyl-oxetan-3-yl-acetic-acid.html	95	5G		0.1G	0.25G	1G
SPC-a039	337	 	571	3733	1244	NCC1(CCO)COC1		2-(3-(Aminomethyl)oxetan-3-yl)ethanol	1045709-42-9	http://spirochem.com/2-3-aminomethyl-oxetan-3-yl-ethanol.html	95	5G		0.1G	0.25G	1G
SPC-a040	153	 	306	2540	847	O=C(CC1(C[N+](=O)[O-])COC1)OCc1ccccc1		Benzyl 2-(3-(nitromethyl)oxetan-3-yl)acetate	1379811-87-6	http://spirochem.com/benzyl-2-3-nitromethyl-oxetan-3-yl-acetate.html	95	5G		0.1G	0.25G	1G
SPC-a041	149	2474	446	1484	743	CCOC(CC1(C[N+]([O-])=O)COC1)=O	MFCD14586409	ethyl 2-[3-(nitromethyl)oxetan-3-yl]acetate	1045709-38-3	http://spirochem.com/ethyl-2-3-nitromethyl-oxetan-3-yl-acetate.html	95	25G	50G	1G	5G	10G
SPC-a042	275	 	500	3366	1122	NC1(CC(=O)O)COC1		2-(3-Aminooxetan-3-yl)acetic acid	1373923-03-5	http://spirochem.com/2-3-aminooxetan-3-yl-acetic-acid.html	95	5G		0.1G	0.25G	1G
SPC-a043	143	 	286	2540	847	O=C(O)CC1(NCc2ccccc2)COC1		2-(3-(Benzylamino)oxetan-3-yl)acetic acid	1404193-72-1	http://spirochem.com/2-3-benzylamino-oxetan-3-yl-acetic-acid.html	95	5G		0.1G	0.25G	1G
SPC-a046	150	1534	270	446	297	OC(C1(COC1)NCc1ccccc1)=O	MFCD22370042	3-(benzylamino)oxetane-3-carboxylic acid	1159738-31-4	http://spirochem.com/3-benzylamino-oxetane-3-carboxylic-acid.html	95	1G	5G	0.1G	0.25G	0.5G
SPC-a047	490	 	918	 	 	NCC(N)C1COC1.O=C(O)C(=O)O		1-(Oxetan-3-yl)ethane-1,2-diamine oxalate	1420680-80-3	http://spirochem.com/1-oxetan-3-yl-ethane-1-2-diamine-oxalate.html	95			0.1G	0.25G	
SPC-a048	131	2919	293	1460	876	NC1(CO)COC1	MFCD20926150	(3-aminooxetan-3-yl)methanol	1305208-37-0	http://spirochem.com/3-aminooxetan-3-yl-methanol.html	95	10G	25G	0.25G	1G	5G
SPC-a049	50		130		380	NCC1(CO)COC1		[3-(aminomethyl)oxetan-3-yl]methanol	45513-32-4	http://spirochem.com/3-aminomethyl-oxetan-3-yl-methanol.html	95			0.25G	1G	5G
SPC-a050	160	1979	267	1187	396	OC1(COC1)c(cc1)ccc1Br	MFCD16657878	3-(4-bromophenyl)oxetan-3-ol	1093878-32-0	http://spirochem.com/3-4-bromophenyl-oxetan-3-ol.html	95	5G	10G	0.25G	0.5G	1G
SPC-a051	120	1781	238	594	396	OC1(COC1)c1cccc(Br)c1		3-(3-bromophenyl)oxetan-3-ol	1379811-98-9	http://spirochem.com/3-3-bromophenyl-oxetan-3-ol.html	95	1G	5G	0.1G	0.25G	0.5G
SPC-a052	153	 	306	2448	816	OC1(c2ccccc2)COC1		3-Phenyloxetan-3-ol	699-73-0	http://spirochem.com/3-phenyloxetan-3-ol.html	95	5G		0.1G	0.25G	1G
SPC-a053	204	 	408	3366	1122	OC1(c2ccc(F)cc2)COC1		3-(4-Fluorophenyl)oxetan-3-ol	1379812-16-4	http://spirochem.com/3-4-fluorophenyl-oxetan-3-ol.html	95	5G		0.1G	0.25G	1G
SPC-a054	357	 	530	3978	1326	Oc1ccc(C2(O)COC2)cc1		3-(4-Hydroxyphenyl)oxetan-3-ol	1379812-10-8	http://spirochem.com/3-4-hydroxyphenyl-oxetan-3-ol.html	95	5G		0.1G	0.25G	1G
SPC-a055	357	 	530	3978	1326	Oc1cccc(C2(O)COC2)c1		3-(3-Hydroxyphenyl)oxetan-3-ol	1379811-99-0	http://spirochem.com/3-3-hydroxyphenyl-oxetan-3-ol.html	95	5G		0.1G	0.25G	1G
SPC-a056	204	 	408	3366	1122	COc1ccc(C2(O)COC2)cc1		3-(4-Methoxyphenyl)oxetan-3-ol	26755-28-2	http://spirochem.com/3-4-methoxyphenyl-oxetan-3-ol.html	95	5G		0.1G	0.25G	1G
SPC-a057	204	 	408	3366	1122	OC1(c2ccc(C(F)(F)F)cc2)COC1		3-(4-(Trifluoromethyl)phenyl)oxetan-3-ol	26755-29-3	http://spirochem.com/3-4-trifluoromethyl-phenyl-oxetan-3-ol.html	95	5G		0.1G	0.25G	1G
SPC-a058	357	 	530	3978	1326	O=C(O)c1ccc(C2(O)COC2)cc1		4-(3-Hydroxyoxetan-3-yl)benzoic acid	1346608-76-1	http://spirochem.com/4-3-hydroxyoxetan-3-yl-benzoic-acid.html	95	5G		0.1G	0.25G	1G
SPC-a059	357	 	530	3978	1326	OC1(c2cccnc2)COC1		3-(Pyridin-3-yl)oxetan-3-ol	1401967-56-3	http://spirochem.com/3-pyridin-3-yl-oxetan-3-ol.html	95	5G		0.1G	0.25G	1G
SPC-a060	149	 	316	 	 	O=C(C1)CN1C(c1ccccc1)c1ccccc1	MFCD00964539	1-(diphenylmethyl)azetidin-3-one	40320-60-3	http://spirochem.com/1-diphenylmethyl-azetidin-3-one.html	95			250G	500G	
SPC-a061	172	 	387	2067	1267	CC(C)(C)OC(N(C1)CC1(C#C)O)=O		tert-butyl 3-ethynyl-3-hydroxyazetidine-1-carboxylate	1259034-35-9	http://spirochem.com/tert-butyl-3-ethynyl-3-hydroxyazetidine-1-carboxylate.html	95	10G		0.25G	1G	5G
SPC-a062	181	 	 	 	 	CC(C)(C)OC(N(C1)CC1=O)=O	MFCD01861741	tert-butyl 3-oxoazetidine-1-carboxylate	398489-26-4	http://spirochem.com/tert-butyl-3-oxoazetidine-1-carboxylate.html	95			250G		
SPC-a063	157	 	315	 	 	CC(C)(C)OC(N(C1)CC1C(OC)=O)=O	MFCD06656775	1-tert-butyl 3-methyl azetidine-1,3-dicarboxylate	610791-05-4	http://spirochem.com/1-tert-butyl-3-methyl-azetidine-1-3-dicarboxylate.html	95			100G	250G	
SPC-a064	139	 	238	 	426	ClCC1(CCl)COC1	MFCD00027377	3,3-bis(chloromethyl)oxetane	78-71-7	http://spirochem.com/3-3-bis-chloromethyl-oxetane.html	95			50G	100G	250G
SPC-a065	107	 	176	 	288	BrCC1(CBr)COC1	NA	3,3-bis(bromomethyl)oxetane	2402-83-7	http://spirochem.com/3-3-bis-bromomethyl-oxetane.html	95			25G	50G	100G
SPC-a066	139	 	306	 	 	CC(C)(C)OC(N(C1)CC1O)=O	MFCD04115305	tert-butyl 3-hydroxyazetidine-1-carboxylate	141699-55-0	http://spirochem.com/tert-butyl-3-hydroxyazetidine-1-carboxylate.html	95			250G	500G	
SPC-a067	153	 	459	 	1377	CCOC(=O)CC1(CN)COC1.Cl		Ethyl 2-(3-(aminomethyl)oxetan-3-yl)acetate hydrochloride	1207175-75-4	http://spirochem.com/ethyl-2-3-aminomethyl-oxetan-3-yl-acetate-hydrochloride.html	95			0.25G	1G	5G
SPC-a068	159	2572	475	1583	792	NC1(COC1)C(O)=O	MFCD12547198	3-aminooxetane-3-carboxylic acid	138650-24-5	http://spirochem.com/3-aminooxetane-3-carboxylic-acid.html	95	25G	50G	1G	5G	10G
SPC-a069	179	1831	228	1039	347	CC(C)(C)OC(NC1(COC1)C(O)=O)=O	MFCD17215905	3-{[(tert-butoxy)carbonyl]amino}oxetane-3-carboxylic acid	1159736-25-0	http://spirochem.com/3-tert-butoxy-carbonyl-amino-oxetane-3-carboxylic-acid.html	95	5G	10G	0.25G	0.5G	1G
SPC-a070	116	1225	209	408	272	OC(C1(COC1)NC(OCc1ccccc1)=O)=O	MFCD22370045	3-{[(benzyloxy)carbonyl]amino}oxetane-3-carboxylic acid	1379811-81-0	http://spirochem.com/3-benzyloxy-carbonyl-amino-oxetane-3-carboxylic-acid.html	95	1G	5G	0.1G	0.25G	0.5G
SPC-a071	154	3859	347	1930	1039	OC(C1(COC1)NC(OCC1c(cccc2)c2-c2c1cccc2)=O)=O		3-((((9H-Fluoren-9-yl)methoxy)carbonyl)amino)oxetane-3-carboxylic acid	1380327-56-9	http://spirochem.com/3-9h-fluoren-9-yl-methoxy-carbonyl-amino-oxetane-3-carboxylic-acid.html	95	10G	25G	0.25G	1G	5G
SPC-a072	267	 	446	1484	890	CCOC(C=C(C1)CN1C(OC(C)(C)C)=O)=O	MFCD16140210	tert-butyl 3-(2-ethoxy-2-oxoethylidene)azetidine-1-carboxylate	1002355-96-5	http://spirochem.com/tert-butyl-3-2-ethoxy-2-oxoethylidene-azetidine-1-carboxylate.html	95	50G		5G	10G	25G
SPC-a073	110	1336	198	446	347	CC(C)(C)OC(N(C1)CC1=C[N+]([O-])=O)=O	MFCD20486581	tert-butyl 3-(nitromethylidene)azetidine-1-carboxylate	1379812-12-0	http://spirochem.com/tert-butyl-3-nitromethylidene-azetidine-1-carboxylate.html	95	1G	5G	0.1G	0.25G	0.5G
SPC-a074	224	 	388	 	1224	NC1(CCCO)COC1		3-(3-Aminooxetan-3-yl)propan-1-ol	1823902-86-8	http://spirochem.com/3-3-aminooxetan-3-yl-propan-1-ol.html	95			0.1G	0.25G	1G
SPC-a075	248	 	446	1237	743	Cc(cc1)ccc1S(N(C1)CC1=O)(=O)=O	NA	1-(4-methylbenzenesulfonyl)azetidin-3-one	76543-27-6	http://spirochem.com/1-4-methylbenzenesulfonyl-azetidin-3-one.html	95	50G		5G	10G	25G
SPC-a076	122	 	418	 	627	OCC1COC1		oxetan-3-ylmethanol	1587502	http://spirochem.com/oxetan-3-ylmethanol.html	95			5G	25G	50G
SPC-a077	155	 	249	 	488	CC(C)(C)OC(N1CC(CO)C1)=O	MFCD06656141	tert-butyl 3-(hydroxymethyl)azetidine-1-carboxylate	142253-56-3	http://spirochem.com/tert-butyl-3-hydroxymethyl-azetidine-1-carboxylate.html	95			50G	100G	250G
SPC-a078	173	 	337	1484	495	NCC1(COC1)F	MFCD18073259	(3-fluorooxetan-3-yl)methanamine	883311-82-8	http://spirochem.com/3-fluorooxetan-3-yl-methanamine.html	95	5G		0.25G	0.5G	1G
SPC-a079	198	 	357	 	594	CC(C)(C)OC(N(C1)CC1(C)O)=O	MFCD16037112	tert-butyl 3-hydroxy-3-methylazetidine-1-carboxylate	1104083-23-9	http://spirochem.com/tert-butyl-3-hydroxy-3-methylazetidine-1-carboxylate.html	95			25G	50G	100G
SPC-a080	109	1163	327	802	510	CC(C)(C)OC(N1CC(CCO)C1)=O	MFCD10699280	tert-butyl 3-(2-hydroxyethyl)azetidine-1-carboxylate	152537-03-6	http://spirochem.com/tert-butyl-3-2-hydroxyethyl-azetidine-1-carboxylate.html	95	25G	50G	1G	5G	10G
SPC-a081	224	 	408	 	1428	NCCC1(O)COC1		3-(2-Aminoethyl)oxetan-3-ol	1554288-33-3	http://spirochem.com/3-2-aminoethyl-oxetan-3-ol.html	95			0.1G	0.25G	1G
SPC-a082	173	 	332	 	1326	CCOC(=O)CC1(CNC(=O)OCc2ccccc2)CN(C(=O)OC(C)(C)C)C1		tert-Butyl 3-((((benzyloxy)carbonyl)amino)methyl)-3-(2-ethoxy-2-oxoethyl)azetidine-1-carboxylate	1404194-03-1	http://spirochem.com/tert-butyl-3-benzyloxy-carbonyl-amino-methyl-3-2-ethoxy-2-oxoethyl-azetidine-1-carboxylate.html	95			0.1G	0.25G	1G
SPC-a083	561	 	1122	 	2550	CC(C)(C)OC(=O)N1CC(CNC(=O)OCc2ccccc2)(CC(=O)O)C1		2-(3-((((Benzyloxy)carbonyl)amino)methyl)-1-(tert-butoxycarbonyl)azetidin-3-yl)acetic acid	1379812-07-3	http://spirochem.com/2-3-benzyloxy-carbonyl-amino-methyl-1-tert-butoxycarbonyl-azetidin-3-yl-acetic-acid.html	95			0.1G	0.25G	1G
SPC-a084	255	 	377	 	1173	CC(C)(C)OC(=O)N1CC(CC(=O)O)(NCc2ccccc2)C1		2-(3-(Benzylamino)-1-(tert-butoxycarbonyl)azetidin-3-yl)acetic acid	1695403-11-2	http://spirochem.com/2-3-benzylamino-1-tert-butoxycarbonyl-azetidin-3-yl-acetic-acid.html	95			0.1G	0.25G	1G
SPC-a085	255	 	459	 	1224	CCOC(=O)CC1(N)CN(C(=O)OC(C)(C)C)C1		tert-Butyl 3-amino-3-(2-ethoxy-2-oxoethyl)azetidine-1-carboxylate	1111202-76-6	http://spirochem.com/tert-butyl-3-amino-3-2-ethoxy-2-oxoethyl-azetidine-1-carboxylate.html	95			0.1G	0.25G	1G
SPC-a086	153	 	306	 	1010	CCOC(=O)CC1(NCc2ccccc2)CN(C(=O)OC(C)(C)C)C1		tert-Butyl 3-(benzylamino)-3-(2-ethoxy-2-oxoethyl)azetidine-1-carboxylate	1373923-04-6	http://spirochem.com/tert-butyl-3-benzylamino-3-2-ethoxy-2-oxoethyl-azetidine-1-carboxylate.html	95			0.1G	0.25G	1G
SPC-a087	149	 	248	 	495	CC(C)(C)OC(N1CC(CC(O)=O)C1)=O	MFCD02179028	2-{1-[(tert-butoxy)carbonyl]azetidin-3-yl}acetic acid	183062-96-6	http://spirochem.com/2-1-tert-butoxy-carbonyl-azetidin-3-yl-acetic-acid.html	95			50G	100G	250G
SPC-a088	163	 	275	2295	765	CC(C)(C)S(=O)N=C1CN(C(c2ccccc2)c2ccccc2)C1		N-(1-Benzhydrylazetidin-3-ylidene)-2-methylpropane-2-sulfinamide	1263296-74-7	http://spirochem.com/n-1-benzhydrylazetidin-3-ylidene-2-methylpropane-2-sulfinamide.html	95	5G		0.1G	0.25G	1G
SPC-a089	184	 	357	2754	918	CC(C)(C)OC(=O)N1CC(=CC=O)C1		tert-Butyl 3-(2-oxoethylidene)azetidine-1-carboxylate	1223573-23-6	http://spirochem.com/tert-butyl-3-2-oxoethylidene-azetidine-1-carboxylate.html	95	5G		0.1G	0.25G	1G
SPC-a090	224	 	377	3366	1122	Cc1ccc(S(=O)(=O)N2CC(=CC=O)C2)cc1		2-(1-Tosylazetidin-3-ylidene)acetaldehyde	1379811-85-4	http://spirochem.com/2-1-tosylazetidin-3-ylidene-acetaldehyde.html	95	5G		0.1G	0.25G	1G
SPC-a092	133	 	255	 	816	CC(C)(C)OC(=O)NC1CNC1		tert-Butyl azetidin-3-ylcarbamate	91188-13-5	http://spirochem.com/tert-butyl-azetidin-3-ylcarbamate.html	95			0.25G	1G	5G
SPC-a093	124	 	184	 	317	CC(C)(C)OC(N(C1)CC1N)=O	MFCD01861753	tert-butyl 3-aminoazetidine-1-carboxylate	193269-78-2	http://spirochem.com/tert-butyl-3-aminoazetidine-1-carboxylate.html	95			25G	50G	100G
SPC-a094	194	 	 	 	 	Cl.NC1CCC1		Cyclobutanamine hydrochloride	1603787	http://spirochem.com/cyclobutanamine-hydrochloride.html	95			5G		
SPC-a095	124	 	233	 	 	CC(C)(C)OC(N(C1)CC1C(O)=O)=O	MFCD01860897	1-[(tert-butoxy)carbonyl]azetidine-3-carboxylic acid	142253-55-2	http://spirochem.com/1-tert-butoxy-carbonyl-azetidine-3-carboxylic-acid.html	95			100G	250G	
SPC-a096	163	 	326	 	918	O=C(O)CC1CCC1		2-Cyclobutylacetic acid	6540-33-6	http://spirochem.com/2-cyclobutylacetic-acid.html	95			0.25G	1G	5G
SPC-a097	208	 	347	1069	633	NCC1CCC1	NA	cyclobutylmethanamine	4415-83-2	http://spirochem.com/cyclobutylmethanamine.html	95	50G		5G	10G	25G
SPC-a098	663	 	1224	 	2754	NCCCC1(O)COC1		3-(3-Aminopropyl)oxetan-3-ol	1428235-52-2	http://spirochem.com/3-3-aminopropyl-oxetan-3-ol.html	95			0.1G	0.25G	1G
SPC-a099	102	 	357	2397	1071	COC1(OC)CSC1		3,3-Dimethoxythietane	89280-54-6	http://spirochem.com/3-3-dimethoxythietane.html	95	100G		1G	5G	25G
SPC-a100	104	 	198	619	347	O=C1CSC1	MFCD11848696	thietan-3-one	22131-92-6	http://spirochem.com/thietan-3-one.html	95	100G		10G	25G	50G
SPC-a101	184	 	255	1530	510	CCOC(=O)C=C1CSC1		Ethyl 2-(thietan-3-ylidene)acetate	1223573-30-5	http://spirochem.com/ethyl-2-thietan-3-ylidene-acetate.html	95	5G		0.1G	0.25G	1G
SPC-a102	255	 	490	3366	1122	N#CC=C1CSC1		2-(Thietan-3-ylidene)acetonitrile	61890-05-9	http://spirochem.com/2-thietan-3-ylidene-acetonitrile.html	95	5G		0.1G	0.25G	1G
SPC-a103	173	 	326	2219	740	O=[N+]([O-])CC1(O)CSC1		3-(Nitromethyl)thietan-3-ol	1379812-19-7	http://spirochem.com/3-nitromethyl-thietan-3-ol.html	95	5G		0.1G	0.25G	1G
SPC-a104	235	 	357	2448	816	NCC1CSC1		Thietan-3-ylmethanamine	1330750-61-2	http://spirochem.com/thietan-3-ylmethanamine.html	95	5G		0.1G	0.25G	1G
SPC-a105	204	 	408	2448	816	CC1(CO)CSC1		(3-Methylthietan-3-yl)methanol	57523-13-4	http://spirochem.com/3-methylthietan-3-yl-methanol.html	95	5G		0.1G	0.25G	1G
SPC-a106	136	1484	245	495	363	OC(C1CSC1)=O	MFCD19229335	thietane-3-carboxylic acid	765-55-9	http://spirochem.com/thietane-3-carboxylic-acid.html	95	1G	5G	0.1G	0.25G	0.5G
SPC-a107	109	 	 	 	 	OC(C1CCC1)=O	MFCD00001323	cyclobutanecarboxylic acid	3721-95-7	http://spirochem.com/cyclobutanecarboxylic-acid.html	95			250G		
SPC-a108	204	 	357	2448	816	OC1(c2ccccc2)CSC1		3-Phenylthietan-3-ol	66982-46-5	http://spirochem.com/3-phenylthietan-3-ol.html	95	5G		0.1G	0.25G	1G
SPC-a109	214	 	357	2448	816	O=S1(=O)CC(O)(c2ccccc2)C1		3-Hydroxy-3-phenylthietane 1,1-dioxide	66982-50-1	http://spirochem.com/3-hydroxy-3-phenylthietane-1-1-dioxide.html	95	5G		0.1G	0.25G	1G
SPC-a110	296	 	459	3825	1275	O=S1(=O)C=C(c2ccccc2)C1		3-Phenyl-2H-thiete 1,1-dioxide	25903-17-7	http://spirochem.com/3-phenyl-2h-thiete-1-1-dioxide.html	95	5G		0.1G	0.25G	1G
SPC-a111	109	 	327	970	574	NC1CCSCC1.Cl		thian-4-amine hydrochloride	233763-40-1	http://spirochem.com/thian-4-amine-hydrochloride.html	95	25G		1G	5G	10G
SPC-a112	134	 	223	713	446	NC(CC1)CCS1(=O)=O.Cl	MFCD11114559	1,1-dioxo-tetrahydrothiopyran-4-amine hydrochloride	116529-31-8	http://spirochem.com/1-1-dioxo-tetrahydrothiopyran-4-amine-hydrochloride.html	95	50G		5G	10G	25G
SPC-a113	159	 	277	852	486	OC(C(CC1)CCS1(=O)=O)=O	MFCD03102802	1,1-dioxo-tetrahydrothiopyran-4-carboxylic acid	64096-87-3	http://spirochem.com/1-1-dioxo-tetrahydrothiopyran-4-carboxylic-acid.html	95	100G		10G	25G	50G
SPC-a114	198	 	357	1187	697	CN(C1)CC1C(O)=O	MFCD11520621	1-methylazetidine-3-carboxylic acid	875629-26-8	http://spirochem.com/1-methylazetidine-3-carboxylic-acid.html	95	50G		5G	10G	25G
